Word,Imageability,Imageability2
ABASEMENT,2.03,2.52
ABBESS,2.97,2.65
ABDICATION,3.57,2.45
ABDOMEN,6,5.06
ABDUCTION,4.93,4.48
ABERRATION,2.27,2.16
ABILITY,2.67,3.68
ABODE,5.07,3
ABYSS,5.17,3.61
ACCORDION,6.5,5.55
ACROBAT,6.53,5.84
ADAGE,2.77,1.84
ADMIRAL,6.2,4.03
ADVANTAGE,2.37,3.45
ADVERSITY,2.8,2.97
ADVICE,3.13,4.13
AFFECTION,4.87,4.8
AFTERLIFE,2.4,4.1
AGILITY,4.57,4.32
AGONY,5.43,4.45
AGREEMENT,3.33,4.23
AIR,4.17,4.35
ALCOHOL,6.47,5.94
ALGEBRA,5.17,4.29
ALIMONY,4.47,3.19
ALLEGORY,2.13,2.35
ALLIGATOR,6.87,5.87
AMAZEMENT,4.47,4.68
AMBASSADOR,5.7,4.13
AMBULANCE,6.67,6.39
AMOUNT,2.73,3.84
AMOUR,5.5,4.58
AMPLIFIER,5.8,5.42
ANECDOTE,3.77,3.32
ANGER,4.87,4.81
ANGLE,5.5,5.23
ANIMAL,6.1,5.32
ANIMOSITY,3.6,3.32
ANKLE,6.77,5.68
ANSWER,2.77,3.87
ANTITOXIN,3.6,2.9
ANXIETY,4.03,4.55
APPEARANCE,4.07,4.61
APPLE,6.73,6.06
APPLIANCE,5.73,4.97
APTITUDE,2.6,3.29
ARBITER,2.33,2.26
ARM,6.53,5.71
ARMADILLO,3.77,4.61
ARMY,6.53,5.84
ARRAY,3.3,3.61
ARROW,6.57,6.1
ARTIST,5.93,5.81
ASSAULT,4.8,4.94
ATHLETICS,5.7,5
ATMOSPHERE,4.23,3.97
ATROCITY,3.67,3.45
ATTENDANT,5.03,4.19
ATTITUDE,2.77,3.81
ATTRIBUTE,2.4,3.35
AUTHOR,4.53,4.13
AUTOMOBILE,6.87,6.16
AVALANCHE,6.27,5.61
AVENUE,6.07,4.74
BABY,6.7,6.26
BACKGROUND,4.03,3.9
BACTERIA,5.33,4.94
BAGPIPE,6.43,5.55
BANALITY,2.03,2
BANDIT,5.83,4.84
BANKER,6.03,5.29
BANNER,5.93,5.55
BAR,6.4,5.71
BARD,4.9,2.84
BARNACLE,4.5,3.81
BARON,5.1,3.81
BARREL,6.57,5.16
BASEMENT,6.03,5.81
BEAST,5.9,5.61
BEAVER,6.5,6.13
BEGGAR,6.4,5.94
BELFRY,4.43,2.61
BELIEF,2.73,3.81
BELONGINGS,5.1,4.55
BEREAVEMENT,3.87,3.16
BETRAYAL,3.57,4
BEVERAGE,5.87,5.74
BIRD,6.67,5.81
BIVOUAC,3.37,2.19
BLACKSMITH,6.17,5.29
BLANDNESS,2.83,3.61
BLASPHEMY,3.17,3.45
BLESSING,4.43,4.42
BLISTER,6.53,4.94
BLOOD,6.7,6.39
BLOOM,5.63,5.58
BLOSSOM,6.67,4.84
BLUNDERBUSS,3.47,2.16
BOARD,6.07,4.65
BODY,6.4,5.84
BOOK,6.43,5.77
BOREDOM,3.83,4.03
BOSOM,6.57,4.19
BOSS,5.73,4.94
BOTTLE,6.57,5.52
BOULDER,6.13,5.71
BOUQUET,6.77,5.67
BOWL,6.3,6.03
BOY,6.57,6.06
BRAIN,5.93,6.26
BRASSIERE,6.77,4.42
BRAVERY,4.4,4.68
BREAST,6.77,5.97
BREEZE,5.87,5.06
BRONZE,6.17,5.42
BRUTALITY,4.9,4.81
BRUTE,5.17,3.97
BUFFOON,4.33,4.13
BUILDER,5.7,4.77
BUILDING,6.4,5.94
BULLET,6.47,5.71
BUNGALOW,6.13,5.19
BUSYBODY,5.17,3.55
BUTCHER,6.27,5.48
BUTTER,6.57,5.45
BUTTERFLY,6.63,6.23
CABIN,6.47,5.9
CAMOUFLAGE,5.2,5.32
CAMP,6.57,5.35
CANDIDATE,4.67,4.71
CANDY,6.63,6.03
CANE,6.43,5.81
CAPACITY,3.4,3.32
CAPTIVE,5.27,4.94
CAR,6.87,5.97
CARAVAN,5.83,5.13
CASEMENT,4.63,2.77
CASH,6.17,5.9
CAT,6.8,6.45
CATERPILLAR,6.57,6.03
CATTLE,6.4,5.74
CAUSALITY,2.9,2.81
CELL,6.47,5.42
CELLAR,6.27,5.23
CENTENNIAL,4.1,3.16
CEREBRUM,4.83,4.23
CEREMONY,5.37,4.71
CHAIR,6.63,5.97
CHANCE,2.5,3.71
CHAOS,4.57,4.97
CHARLATAN,3.43,2.52
CHARM,4.7,4.32
CHARTER,3.83,3.74
CHASM,4.47,3.68
CHIEF,6.07,5.42
CHILD,6.5,5.74
CHIN,6.43,5.58
CHLORIDE,4.2,3.53
CHRISTMAS,6.7,6.03
CHURCH,6.63,6
CIGAR,6.8,6.1
CIRCLE,6.23,5.94
CIRCUIT,4.97,4.26
CITATION,3.57,3.55
CITY,6.43,5.13
CLAW,6.33,5.48
CLEANNESS,4.77,4.68
CLEMENCY,2.9,2.1
CLOCK,6.5,5.9
CLOTHING,6.17,5.39
COAST,6.13,5.65
COBBLESTONE,5.87,4.42
CODE,4.53,3.94
COFFEE,6.73,6.03
COIN,6.5,6
COLLEGE,6.2,5.45
COLONY,5.1,5
COMBUSTION,5.1,4.45
COMEDY,4.9,5.1
COMFORTER,5.03,5.03
COMMITTEE,5.03,4.42
COMPARISON,2.93,3.45
COMPETENCE,2.97,3.39
COMPETITION,4.53,4.87
COMRADE,5.57,4.32
COMRADESHIP,4.4,3.35
CONCEPT,1.93,3.13
CONFIDENCE,3.4,4.17
CONNOISSEUR,5.2,3
CONQUEST,4.03,3.55
CONTENTS,3.57,3.94
CONTEXT,2.13,2.97
CONTRACT,4.5,4.68
CONTRIBUTION,3.67,4
CONVENTION,5.07,3.81
COOPERATION,3.4,4.06
COPYBOOK,4.6,3.94
CORD,6.03,4.52
CORE,5.17,4.74
CORN,6.47,5.97
CORNER,6.13,5.39
CORPSE,6.5,5.42
COST,3.57,4.71
COSTUME,5.8,5.71
COTTAGE,6.5,5.87
COTTON,6,5.42
COURTSHIP,5.3,4.03
COWHIDE,5.4,4.47
CRADLE,6.23,5.65
CRAG,4.77,2.3
CRANIUM,4.53,4.03
CREATOR,3.87,4
CREATURE,4.6,5.26
CRIME,4.43,5.19
CRISIS,3.43,4.37
CRITERION,1.83,2.68
CUISINE,5.57,4.94
CUSTOM,3.43,3.81
DAFFODIL,6.47,4.52
DALLIANCE,2.43,2.68
DAMSEL,6.03,4.61
DAWN,6.37,5.32
DAYBREAK,6.43,4.81
DAYLIGHT,5.9,5.81
DEATH,5,5.52
DEBACLE,2.1,2.39
DECEIT,3.3,3.55
DECORATION,5.37,4.48
DECREE,3.3,2.48
DEDUCTION,2.67,3.84
DEED,3.63,3.97
DELIRIUM,4.8,3.23
DELL,3.37,2.65
DELUGE,4.57,2.29
DEMOCRACY,2.47,3.74
DEMON,4.7,5.42
DERELICT,4.6,2.87
DESTRUCTION,5.27,5.16
DETERMINATION,3.57,3.97
DETONATION,4.57,3.9
DEVELOPMENT,3.07,3.19
DEVIL,5.63,6.29
DEVOTION,3.9,4.19
DIAMOND,6.67,6.42
DIFFUSION,3.4,4.1
DIRECTION,3.83,4.26
DIRT,6.1,5.74
DISASTER,5.1,5.26
DISCIPLINE,3.57,3.81
DISCLOSURE,2.17,2.84
DISCONNECTION,3.57,4.03
DISCOVERY,4.13,3.94
DISCRETION,2.27,3.71
DISEASE,4.87,4.48
DISPARITY,2.7,3.06
DISPOSITION,2.93,3.3
DISTINCTION,2.7,3.52
DISTRACTION,3.23,4.1
DISTURBER,4.1,4.45
DOCTOR,6.4,5.84
DOLL,6.17,6.1
DOLLAR,6.5,6.45
DOMICILE,4.2,2.13
DOOR,6.6,5.9
DOORMAN,6.4,5
DOVE,6.53,6
DRAMA,4.9,5
DREAM,4.6,5.1
DREAMER,5.33,4.81
DRESS,6.53,5.84
DUMMY,5.83,4.97
DUST,6.03,4.71
DUTY,3.17,3.94
DWELLER,4.37,3.71
DYNASTY,3.63,3.43
EARTH,6.27,6.23
ECCENTRICITY,3.77,3.1
ECONOMY,3.2,3.87
EDIFICE,4.7,2.26
EDITION,3.4,3.48
EFFORT,3.33,3.97
EGO,2.9,4.52
ELABORATION,2.63,3
ELBOW,6.3,5.29
ELEPHANT,6.83,6.23
EMANCIPATION,3.2,2.33
EMBEZZLEMENT,3.17,3.58
EMERGENCY,5.03,5.48
EMPORIUM,2.93,3.16
ENCEPHALON,2.17,2
ENCORE,4,4.45
ENGAGEMENT,4.7,4.84
ENGINE,6.33,5.71
ENSEMBLE,4.63,3.68
ENTERPRISE,3.07,4.26
EPISODE,3.37,4.13
EPISTLE,4.23,2.48
EQUITY,2.23,3.71
ERRAND,4.27,3.26
ESSENCE,2.33,3.26
EVANGELIST,4.97,3.55
EVENT,2.9,4
EVIDENCE,3.23,3.77
EXACTITUDE,2.23,2.84
EXAMINATION,6.07,4.58
EXCLUSION,2.8,3.97
EXCUSE,2.77,4.03
EXERTION,4.33,3.65
EXHAUST,5.17,4.77
EXHAUSTION,5.1,4.55
EXPLANATION,2.9,3.5
EXPRESSION,3.57,4.26
EXTERMINATION,4.03,4.42
FABRIC,5.6,5
FACILITY,2.73,4.23
FACT,2.2,3.74
FACTORY,6.43,5.17
FALCONER,4.03,2.35
FALLACY,2.3,2.23
FANTASY,3.7,4.42
FATE,2.37,3.29
FATIGUE,5.07,5.13
FAULT,2.83,3.68
FELINE,4.67,5.1
FESTIVITY,5.3,4.61
FEUDALISM,3.83,2.29
FIGMENT,2.3,3
FIORD,5.7,2.84
FIRE,6.7,6.29
FIREPLACE,6.83,6.39
FIRMAMENT,4.3,2.74
FISHERMAN,6.5,5.97
FLAG,6.6,6.48
FLASK,6.5,5.42
FLESH,6.13,5.48
FLEXIBILITY,4,4.7
FLOOD,6.33,6.13
FLOWER,6.57,6
FOAM,6.33,5.06
FOIBLE,2.2,1.84
FOLLY,2.93,2.9
FOOTWEAR,6.1,5.84
FOREHEAD,6.27,5.35
FOREST,6.63,6.13
FORETHOUGHT,2.57,2.94
FORK,6.57,6
FORM,4.3,4.52
FORMATION,3.87,3.84
FORTUNE,4.57,4.68
FOWL,5.87,4.68
FOX,6.73,5.97
FRANCHISE,2.9,4.32
FREEDOM,3.83,4.68
FRICTION,4.33,4.32
FRIEND,6.37,5.52
FROG,6.73,5.65
FRONTAGE,4.57,3.13
FUN,5.23,4.84
FUNCTIONARY,1.77,2.58
FUR,6.23,5.52
FURNITURE,6.17,5.68
GADFLY,3.77,1.55
GAIETY,5.63,2.9
GALAXY,6,5.65
GALLERY,5.97,4.84
GARDEN,6.73,5.71
GARMENTS,5.83,5.06
GARRET,4.13,2.58
GEESE,6.53,6
GEM,6.4,5.81
GENDER,2.9,5.23
GENIUS,4.27,4.84
GENTLEMAN,6.2,5.77
GHOST,5.37,5.68
GIFT,5.77,5.17
GILT,4.2,2.65
GINGHAM,5.33,2.29
GIRL,6.87,6
GIST,1.97,3.19
GLACIER,6.07,5.55
GLORY,4.13,4.48
GLUTTON,5.77,3.9
GOBLET,6.03,4.61
GODDESS,5.23,5.23
GOLD,6.47,5.71
GOLF,6.7,5.74
GORE,4.67,4.35
GRADUATION,6.03,5.97
GRANDMOTHER,6.43,6.16
GRASS,6.63,5.55
GRATITUDE,3.7,3.77
GRAVITY,3.6,4.13
GREED,3.53,4.48
GREEN,6.6,6.03
GRIEF,4.7,4.23
GUARDHOUSE,5.8,3.74
GYMNASTICS,5.83,5.9
HABITATION,4.6,4.13
HAIRPIN,6.13,5.45
HALL,6.37,5.29
HAMLET,5.87,4.81
HAMMER,6.73,6.23
HANKERING,2.23,3.52
HAPPINESS,5.13,5.13
HARDSHIP,4.1,3.35
HARDWOOD,5.77,5.26
HARNESS,5.1,4.68
HARP,6.6,4.77
HATRED,3.97,3.81
HEADLIGHT,6.43,5.74
HEADQUARTERS,5.03,4.77
HEALTH,4.1,4.5
HEARING,3.77,4.42
HEAVEN,4.13,5.29
HENCHMAN,4.67,3.94
HEREDITY,3.53,3.84
HEROISM,4.17,4.55
HIDE,3.8,4.55
HIERARCHY,5.13,3.81
HILLSIDE,6.3,5.35
HINDRANCE,3.07,3.45
HINT,2.57,3.58
HISTORY,3.47,3.97
HOME,6.5,5.97
HOMICIDE,4.17,4.97
HONEYCOMB,6.23,5.74
HONOUR,3.5,4.42
HOOF,6.37,5.26
HOPE,3.83,4.06
HORSE,6.8,6.1
HORSEHAIR,5.67,5.19
HOSPITAL,6.53,6.1
HOSTAGE,5.57,5.16
HOSTILITY,4.23,4.23
HOTEL,6.4,5.74
HOUND,6.27,5.48
HOUR,3.6,4.84
HOUSE,6.67,6.32
HUMOUR,4.57,4.65
HURDLE,6.33,5.32
HURRICANE,6.33,5.81
HYPOTHESIS,2.4,3.42
ICE-BOX,6.17,5.5
IDEA,2.2,4.74
IDIOM,3,2.61
IGNORANCE,3.57,3.48
ILLUSION,3.53,4.58
IMMUNITY,3.43,3.58
IMPACT,4.47,4.39
IMPOTENCY,3.4,3.65
IMPROPRIETY,1.87,2.48
IMPULSE,3.7,4.29
INANITY,1.83,2.32
INCIDENT,2.9,3.81
INCLEMENCY,3.03,2.29
INCREMENT,2.63,2.74
INDUCEMENT,2.93,2.94
INDUSTRY,5.77,4.19
INEBRIETY,3.53,2.26
INFANT,6.33,5.74
INFECTION,4.87,4.81
INFIRMARY,5.63,4.16
INGRATITUDE,2.93,3.1
INHABITANT,4.33,4.16
INJURY,5.7,5.26
INK,6.37,5.52
INN,6.07,5.19
INSECT,6.1,5.58
INSOLENCE,3.93,3.1
INSTANCE,2,2.58
INSTITUTE,4.6,4.42
INSTRUCTOR,5.7,4.94
INSTRUMENT,5.67,5.42
INTELLECT,2.93,3.45
INTEREST,3.13,4
INTERIM,1.97,2.61
INTERVIEW,5.03,5.29
INTIMATE,5,4.61
INVESTIGATION,3.6,3.94
INVOICE,5.17,4.13
IRON,6.07,5.39
IRONY,2.83,3.74
ISLANDER,5.43,4.16
ITEM,3.67,4
JAIL,6.43,6.07
JEALOUSY,4.72,4.58
JELLY,6.4,5.03
JEOPARDY,3.03,5.03
JOKE,4.27,4.32
JOURNAL,5.6,5.61
JOVIALITY,5.2,3.52
JOY,5.43,4.61
JUDGE,6.27,6.26
JUGGLER,6.1,5.13
JURY,6.07,5
JUSTICE,3.6,4.61
KEG,6.4,5.94
KERCHIEF,5.23,4.61
KEROSENE,5.77,4.39
KETTLE,6.23,5.32
KINDNESS,4.2,4.42
KINE,2,2.13
KING,6.27,5.84
KISS,6.8,6.39
KNOWLEDGE,2.97,3.77
LABYRINTH,4.83,3.65
LAD,6.33,4.71
LAKE,6.67,5.71
LANDSCAPE,6.43,5.32
LARK,6.2,4.13
LAW,3.73,4.74
LAWN,6.57,5.97
LEADER,5.13,4.81
LEAFLET,5.47,3.68
LECTURE,5.57,4.74
LECTURER,5.7,4.77
LEGGINGS,5.87,4.87
LEGISLATION,3.33,4.1
LEMON,6.83,6.1
LEMONADE,6.5,5.61
LENGTH,3.73,4.48
LEOPARD,6.77,5.94
LETTER,6.37,5.42
LETTERHEAD,5.13,4.77
LIBRARY,6.73,5.84
LICE,5.57,5.48
LIFE,4.07,4.42
LIMB,6.17,5.23
LIME,5.67,5.26
LIMELIGHT,4.83,3.97
LINK,4.8,4
LIP,6.57,6
LOBSTER,6.57,5.42
LOCKER,6.27,5.58
LOQUACITY,3.4,1.61
LORD,4.63,4.71
LOVE,5.6,5.48
LOYALTY,4.07,3.97
LUBRICANT,5.23,5.29
LUMP,5.63,5.06
MACARONI,6.47,5.58
MACHINE,6,5.32
MADNESS,4.03,4.97
MAGAZINE,6.4,5.87
MAGNITUDE,2.5,3.9
MAIDEN,6.1,4.61
MAJORITY,3.63,4.32
MAKER,3.57,3.42
MALADY,3.37,3.26
MALARIA,4.83,3.32
MALICE,3.3,3.06
MAMMAL,5.57,5.26
MANAGEMENT,3.9,3.81
MANTLE,6.27,4.39
MARKET,6.13,5.48
MARRIAGE,5.8,6
MAST,6.43,3.97
MASTER,4.97,4.39
MASTERY,2.77,2.97
MATERIAL,5.07,4.23
MATHEMATICS,4.5,4.65
MEADOW,6.43,5.48
MEAT,6.63,5.71
MEDALLION,5.87,4.97
MEETING,5.2,4.52
MEMORY,3.1,3.74
MENACE,3.73,4.19
MERCY,3.4,3.87
METAL,5.87,5.26
METHOD,2.63,3.26
METROPOLIS,5.97,4.42
MICROSCOPE,6.57,5.61
MILEAGE,4.53,3.97
MIND,3.03,4.39
MIRACLE,3.33,4.19
MIRAGE,4.97,4.71
MISCHIEF,4.03,4.39
MISCONCEPTION,2.3,3.19
MISERY,4.37,4
MISSILE,6.33,5.39
MOISTURE,5.2,5
MOLECULE,4.43,4.19
MOMENT,2.5,3.42
MONARCH,6.2,4.61
MONEY,6.43,5.9
MONK,6.4,5.23
MONTH,4.37,4.71
MOOD,3.67,4.26
MORAL,3.17,4.03
MORGUE,6.03,5.77
MOSQUITO,6.53,6.16
MOSS,6.33,6.06
MOTHER,6.67,6.13
MOUNTAIN,6.77,6.16
MUCOUS,5.53,4
MULE,6.6,5.52
MULTIPLICATION,4.73,4.61
MURDER,5.4,5.1
MUSICIAN,6.13,5.68
NAIL,6.5,5.9
NAMESAKE,3.37,2.94
NECESSITY,3,3.9
NECTAR,5.33,4.19
NEPHEW,4.3,4.74
NEWSPAPER,6.57,5.84
NIGHTFALL,6.17,5.32
NONSENSE,3.07,3.55
NOOSE,6.23,5.13
NORTHWEST,4,4
NUN,6.67,5.71
NURSERY,6.1,5.29
NUTMEG,5.37,4.1
NYMPH,5.63,3.9
OATS,6.07,5.16
OBEDIENCE,3.67,3.83
OBSESSION,3.87,4.13
OCCASION,2.53,3.97
OCEAN,6.77,6.19
ODOR,5.13,4.39
OFFICER,6.23,5.68
OFFSHOOT,3.67,2.87
ONSLAUGHT,3.67,3.23
OPINION,3.23,3.77
OPIUM,4.6,3.42
OPPORTUNITY,3.03,3.23
ORCHESTRA,6.77,5.58
ORIGIN,2.3,3.35
ORIGINATOR,3.3,2.84
OSCULATION,2.7,2.52
OUTCOME,2.4,3.45
OUTSIDER,5.27,4.23
OVEN,6.4,5.97
OWNER,4.23,4.68
OWNERSHIP,3.27,3.94
OXYGEN,4.27,4.84
PACIFISM,3.9,2.84
PACT,3.5,3.58
PAINTER,5.87,5.68
PALACE,6.5,5.84
PANIC,5.33,5.06
PANORAMA,4.47,3.58
PAPER,6.3,5.52
PARTY,6.27,5.52
PASSAGEWAY,5.53,4.71
PASSION,5.3,4.68
PATENT,3.43,3.06
PEACEMAKER,4.03,4.16
PEACH,6.6,6.29
PELT,5.4,3.61
PENCIL,6.37,5.87
PEP,4.6,3.35
PEPPER,6.27,6
PERCEPTION,3.17,3.87
PERFORMER,5.43,4.9
PERIODICAL,4.93,3.9
PERJURY,3.37,2.9
PERMISSION,2.87,3.94
PERSON,5.83,4.94
PHANTOM,5.03,4.97
PHOTOGRAPH,6.43,6.06
PHYSICIAN,6.37,5.48
PIANIST,6.43,5.39
PIANO,6.7,5.81
PICTURE,6.2,6.16
PIPE,6.43,5.71
PISTON,5.37,4.74
PLAIN,5.37,4.23
PLANK,6.3,4.68
PLANT,6.5,5.55
PLEASURE,4.8,5.19
PLEDGE,3.63,4.23
POET,5.27,4.35
POETRY,4.9,5
POLE,6.1,5.52
POLICEMAN,6.7,6.23
POLLUTION,4.63,4.87
PORTAL,5.1,3.74
PORTRAIT,5.87,5.55
POSITION,2.97,3.81
POSTER,6.33,5.58
POTATO,6.5,5.65
POVERTY,5.07,5.16
POWER,4.47,4.45
PRAIRIE,6.47,5.32
PRAYER,5.17,5.1
PREDICAMENT,3.3,3.94
PRESENT,4.8,5.19
PRESSURE,4.1,4.3
PRESTIGE,3.67,4.03
PREVIEW,4.03,3.71
PRIDE,4.23,3.84
PRIEST,6.53,5.65
PRISON,6.23,6.35
PRISONER,6.23,5.74
PROCESSION,5.7,4.13
PRODUCT,4.2,3.68
PROFESSION,3.83,4.06
PROFESSOR,6.17,5.16
PROFILE,5.97,4.32
PROMOTION,3.33,3.81
PROPERTY,4.87,4.87
PROPRIETOR,5.1,3.16
PROSECUTOR,5,4.65
PROSPERITY,4.47,4.45
PROXY,2.7,2.13
PUDDING,6.27,5.39
PUPIL,6.37,5.29
PYTHON,5.47,5.77
QUALITY,3.1,3.45
QUANTITY,3.47,3.94
QUEEN,6.57,5.9
QUEST,4.53,3.87
RACKETEER,5.07,2.61
RAILROAD,6.27,6.16
RATING,2.6,3.74
RATTLE,6.3,5.06
REACTION,3.83,3.94
RECITAL,4.97,4.19
RECOGNITION,3.6,3.87
REFLECTION,5.9,5
REFLEX,4.73,5.03
REFRIGERATOR,6.67,6.06
REMINDER,2.83,4.13
RENDEZVOUS,5.2,3.74
REPLACEMENT,2.7,4.1
REPTILE,6,5.77
RESEARCH,4.13,4.13
RESIDUE,4.87,4.58
RESTAURANT,6.47,5.52
RETAILER,4.33,4.97
REVOLT,5.07,4.26
REVOLVER,6.7,5.94
RHAPSODY,4.23,3
RHEUMATISM,4.5,2.39
RITUAL,4.7,4.03
RIVER,6.63,6.03
ROBBER,5.67,5.23
ROBBERY,5,5.35
ROCK,6.37,6.1
ROD,5.97,5.13
ROSIN,4.2,3.19
RUBBLE,5.23,4.48
SADNESS,4.63,5.23
SAFETY,4.27,4.32
SALAD,6.53,5.94
SALARY,4.7,4.65
SALOON,6.43,5.55
SALUTATION,4.47,3.52
SALUTE,5.77,5.32
SATIRE,3.37,2.68
SAUCE,5.8,5.61
SAVANT,3.07,2.26
SCARLET,6.37,4.9
SCIENCE,4.07,4.32
SCORPION,6.27,5.68
SEA,6.73,5.77
SEASON,4.87,4.94
SEAT,6.4,5.9
SEMESTER,3.53,3.94
SENSATION,3.67,4.68
SENTIMENT,3.57,3.35
SERF,5.5,3.29
SERIES,4.47,3.58
SESSION,3.67,3.68
SETTLEMENT,4.6,4.68
SETTLER,5.4,4.61
SHADOW,5.63,5.97
SHAME,4.1,4.29
SHEEPSKIN,6.13,3.9
SHIP,6.67,6.29
SHOCK,4.67,4.68
SHOES,6.63,5.52
SHORE,6.63,4.84
SHOTGUN,6.6,6.29
SHRIEK,5.73,4.74
SICKNESS,5.17,4.71
SILENCE,4.1,4.35
SIMILE,2.9,3.42
SINGER,6.17,5.77
SITUATION,2.53,3.1
SKILLET,6.1,5.29
SKIN,6.43,5.81
SKULL,6.47,5.39
SKY,6.73,6.26
SLAVE,6.23,5.68
SLIPPER,6.47,5.45
SLUSH,6.27,5.87
SNAKE,6.9,6.23
SOBRIETY,3.5,3.23
SOCIALIST,3.13,3.42
SOIL,6,5.42
SONATA,4.53,3.13
SOUL,2.13,4.1
SOVEREIGN,5.73,3.32
SPEAKEASY,3.8,3.52
SPEAKER,5.67,4.74
SPEECH,4.33,4.52
SPINACH,6.47,5.48
SPIRE,5.57,2.52
SPIRIT,3.43,3.94
SPRAY,6.17,5.45
SPREE,4.27,3.48
SQUARE,6.37,5.9
STAGECOACH,6.43,4.68
STAIN,5.93,5.23
STAR,6.7,6.35
STEAM,6.37,5.52
STEAMER,6.53,4.97
STEERAGE,3,2.45
STONE,6.23,5.61
STOREROOM,5.87,4.97
STORM,6.43,5.48
STRAWBERRY,6.8,5.97
STREET,6.57,5.81
STRENGTH,4.63,4.87
STRING,6.2,5.35
STUB,4.97,4.43
STUDENT,6.27,5.68
STYLE,3.83,3.68
SUBSTITUTE,3.13,3.97
SUBTRACTION,3.8,4.84
SUDS,6.4,5.23
SUGAR,6.57,5.87
SULPHUR,6.03,4.16
SULTAN,5.57,4.65
SUNBURN,6.7,5.84
SUNSET,6.83,6.48
SUPPLICATION,2.8,2.42
SUPPRESSION,2.83,3.26
SURTAX,1.63,2.71
SWAMP,6.33,5.55
TABLE,6.5,5.65
TABLESPOON,6.33,5.52
TANK,6.23,4.94
TEACHER,5.77,5.52
TEMERITY,2.33,2.1
TEMPEST,5.63,3.77
TEMPLE,6.13,5.77
TENDENCY,2.2,3.19
THEOLOGIAN,4.47,3.26
THEORY,2.57,3.52
THICKET,5.6,3.55
THIEF,5.7,5.29
THISTLEDOWN,3.83,2.1
THORN,6.33,5.55
THOUGHT,2.77,4.13
TICKET,6.2,5.68
TIDBIT,4.37,2.84
TIME,4.13,5.48
TIMEPIECE,6.1,3.81
TOAST,6.57,5.65
TOBACCO,6.27,5.32
TOMAHAWK,6.57,4.81
TOMB,6.37,5.58
TOOL,5.77,5.48
TOWER,6.53,6.16
TOY,6.17,5.94
TRACTION,4.77,4.32
TRAGEDY,4.7,4.16
TREE,6.77,6.39
TRELLIS,5.6,2.48
TRIBUTE,3.57,3.87
TRIPOD,6.23,4.55
TROOPS,6.13,5.81
TROUBLE,3.53,4.06
TRUCE,4.8,3.58
TRUCK,6.6,5.87
TRUMPET,6.6,5.32
TRUTH,2.73,4.19
