Word,Imageability,TogliaImageability
ace,4.5,
ache,3.8,
act,3.5,4.31
ad,4.1,
add,3.3,
aft,1.6,
age,3.4,4.38
aid,3.5,4.07
aide,2.5,
ail,1.9,3.85
aim,3.9,3.77
air,4,4.62
aisle,5.3,5.22
ale,4,5.2
all,2.3,3.26
alms,2.3,
alp,2.7,
am,1.8,
an,1.2,
and,1.3,2.36
ant,6.7,6.07
ape,6.8,6.1
apse,1.3,
apt,1.9,2.89
arc,5,4.88
arch,5.1,5.37
are,1.3,2.56
ark,5.7,
arm,6.8,5.61
art,4.6,4.87
arts,4,
as,1.4,
ash,5.7,5.62
ask,2.7,
ass,6,
at,1.4,
ate,3.9,3.58
aunt,6.2,
awe,2.3,
ax,6.2,
axe,6.3,
aye,1.7,
babe,5.7,
back,5,4.87
bad,2.4,4.13
badge,5.9,5.13
bag,6.4,
bail,3.9,4.74
bait,5.6,
bake,5.1,
bald,6.2,
bale,3.4,4.67
balk,1.8,
ball,6.6,6.25
balm,4.3,
ban,2.9,
band,6,5.44
bane,2.1,
bang,3.7,4.64
bank,6.1,5.54
bar,6.1,5.8
barb,4.3,
bare,3.9,4.81
barge,5.7,
bark,5,5.33
barn,6.9,
base,4.4,4.34
bash,3.2,
bask,2.6,
bass,5.7,
baste,3.5,
bat,6.2,5.8
batch,3.8,
bath,6,6.18
bathe,4.5,
bawl,3.6,
bay,5.2,
be,1.3,
beach,6.5,6.61
bead,6,
beak,5.2,5.68
beam,4.6,5.02
bean,6.6,5.32
bear,6.7,5.6
beard,6.3,6.24
beast,5.6,
beat,3.4,4
beau,3.1,
beck,2,
bed,6.6,6.23
bee,6.9,6.17
beech,3.4,
beef,6.5,6.19
been,1.9,2.16
beer,6.1,5.92
beet,4.8,5.49
beg,3.7,4.25
beige,5.3,
belch,4.6,
bell,6.6,6.04
belle,3.9,
belt,6.5,4.88
bench,6.5,
bend,3.9,
bent,4.7,
berth,2,
best,2.7,3.36
bet,3.1,
bib,5.9,4.82
bid,3.4,
bide,1.6,
big,4.5,
bike,6.8,
bile,3.6,
bilge,1.7,
bill,5.4,5.61
bin,5.1,
bind,3.1,
binge,2.9,
birch,4.1,5.55
bird,6.4,6.14
birth,5.1,5.17
bit,3.6,4.26
bitch,5.4,
bite,5.2,
blab,2.9,
black,6.4,5.9
blade,5.8,5.7
blah,2.2,
blame,2.7,
blanch,2.9,
bland,2.3,3.42
blank,3.7,
blare,2.9,
blast,4.8,
blaze,4.9,
bleach,5.7,
bleak,2.8,4.29
bleat,2.1,
bled,4.1,
bleed,5.7,
blend,4.2,
bless,2.9,
blew,3.9,3.98
blight,2.2,
blimp,5.6,
blind,4.4,4.79
blinds,5.7,
blink,5.5,
bliss,3.1,
blithe,1.6,
blitz,3.4,
bloat,3.7,
blob,4.4,
block,5.7,
bloke,2.4,
blonde,6.3,
blood,6.4,5.67
bloom,5,
blot,4,
blotch,4.2,
blouse,6.4,5.89
blow,4.2,4.52
blown,3.4,
blue,6.1,5.66
bluff,3.7,
blunt,4.3,
blur,4.1,
blurt,2.7,
blush,5.2,5.59
boar,4.6,5.18
board,5.8,5.98
boast,2.8,
boat,6.7,6.25
bob,3.5,
bode,2,
bog,2.9,
boil,5.5,5.27
bold,2.9,
bolt,5.6,5.88
bomb,6.4,6
bond,4,
bone,6.4,5.61
book,6.3,5.6
boom,3.8,
boon,2,
boost,2.9,
boot,6.9,5.73
booth,5.6,5.28
booze,5.9,
bore,2.5,3.98
bored,3.6,
borne,2.4,3.4
bosh,1.8,
boss,5.1,
botch,2.4,
both,2.3,3.07
bough,2,
bought,3.2,
bounce,4.7,
bound,3.3,
bout,1.8,
bowl,6.3,5.66
box,6.7,6
boy,6.2,6.11
bra,6.6,
brace,4.8,
brag,3.1,
braid,5.9,
brain,6.4,5.63
braise,2,
brake,5.3,5.05
bran,3.2,
branch,6,
brand,3.9,
brash,2.3,
brass,5.8,5.09
brat,5,5.3
brave,3.3,4.19
brawl,4.1,5.1
braze,2.3,
breach,3.3,
bread,6.2,6.38
breadth,1.8,
break,4.5,4.1
breast,6.7,5.52
breath,5,5
breathe,3.8,
bred,3.1,3.81
breech,2.8,
breed,3.9,
breeze,4.4,
brew,4.6,
bribe,3.7,4.19
brick,6.6,5.69
bride,6.4,
bridge,6.7,
brief,2.5,3.38
brig,2.2,
bright,4.4,4.98
brim,3.8,
bring,2.6,
brink,3.1,
brisk,2.6,
broach,4,
broad,3.3,4.57
broil,4.3,5.09
broke,3.7,4.79
bronze,5.6,
brooch,3.3,
brood,3.2,
brook,5.8,
broom,6.6,6.02
broth,4.5,
brought,2.1,
brow,4.8,
brown,5.8,
browse,3.6,
bruise,6.3,
brunch,3.8,
brunt,2.1,
brush,6.2,5.5
brute,4,4.46
buck,5.9,
bud,4.9,4.48
budge,3.1,
buff,4,
bug,6.7,
build,3.8,3.93
built,3.4,
bulb,6.6,
bulge,4.8,
bulk,3.5,
bull,6.2,
bum,5,
bump,4.9,4.7
bun,6,
bunch,4,4.67
bunk,4.8,
bunt,3.8,
burl,1.8,
burn,4.7,4.95
burp,4.7,
burr,4.4,
burst,3.5,
bus,6.8,
bush,6.3,5.1
buss,2.2,
bust,4.6,
but,1.9,1.91
butch,4.5,
butt,6.3,
buy,3.6,3.91
buzz,4,
by,1.6,2.43
bye,2.9,
cab,6.7,
cache,2.6,
cage,6.4,6.07
cake,6.8,6.23
calf,6.5,5.59
call,4.4,4.44
calm,2.8,4.6
calve,5.2,
cam,2.6,
came,2.4,2.82
camp,6.4,5.51
can,5.1,3.47
cane,6.4,
cap,6.2,
cape,6.2,5.6
car,6.9,6.22
card,6.4,5.72
care,3.1,3.77
carp,4.6,
cart,6,
carve,4.8,
case,4.5,4.95
cash,6.6,
cask,2.7,
cast,4.4,4.77
caste,2.4,4.17
cat,6.5,5.91
catch,4.4,
caught,3.3,3.95
caulk,3.7,
cause,1.8,2.66
cave,6.7,5.95
cease,2.7,
cell,5.8,5.62
cent,5.7,5.79
chafe,2.5,
chaff,2.2,
chain,6.5,5.37
chair,6.5,5.89
chaise,2,
chalk,6.8,5.95
champ,4.6,
chance,2.1,3.98
change,3.2,
chant,4,
chap,3.5,
char,3.2,
chard,2.9,
charge,3.4,
charm,4.5,4.33
chart,5.7,5.25
chase,4.4,
chasm,2.6,
chaste,2.5,
chat,4.2,
cheap,3.1,
cheat,3.7,4.51
check,4.9,
cheek,6.4,
cheep,2.9,
cheer,4.6,
cheese,6.4,5.56
chef,6.2,
chess,6.3,
chest,6.1,5.5
chew,4.9,5.21
chic,4,4.31
chick,5.9,
chide,2.1,
chief,5.9,5.03
child,6.4,6.17
chill,3.7,
chime,5.1,
chimp,6.6,
chin,6.2,
chip,5.7,
chirp,4.2,
chive,4.7,
chock,1.8,
choice,2.6,
choir,5.5,
choke,5,
choose,2.3,2.93
chop,4.5,
chord,4.6,
chore,4.2,
chose,2.8,
chow,4.3,
chrome,5.9,
chuck,3.5,
chug,4.1,
chum,3.7,
chump,3.9,
chunk,4.5,
church,6.7,5.98
churn,4.9,
chute,3.7,4.61
cinch,2.7,
cite,2.3,3.25
clack,2,
clad,2.1,
claim,2.6,
clam,6,5.35
clamp,4.6,
clan,4.9,
clang,3,4.39
clank,3,
clap,5.6,
clash,3.8,
clasp,4.1,
class,5.6,
clause,2.4,
claw,6,
clay,6.1,
clean,4.5,4.34
cleanse,4,
clear,3.6,4.55
cleat,3.9,
cleave,2.5,
clef,2.9,
cleft,3.9,
clench,3.4,
clerk,6.2,
click,3.7,
cliff,6.3,
climb,5.4,
clinch,3.3,4.17
cling,4,
clink,2.4,
clip,5.2,
clique,3.8,
cloak,5.4,5.12
clock,6.8,
clod,3.3,
clog,4.5,
clone,4.8,
clop,2.3,
close,3.7,
clot,4.2,
cloth,6,5.41
clothe,4.6,
clothes,6.4,
cloud,6.7,5.89
clout,2.1,
clove,4.7,4.15
clown,6.9,5.83
club,5.5,5.16
cluck,3.6,
clue,4.2,3.69
clump,3.9,
clung,3.1,
clutch,4.1,
coach,6,5.2
coal,6.3,5.74
coarse,3.7,4.88
coast,5.4,5.84
coat,6.7,5.38
coax,2.1,
cob,5.4,
cock,5.1,
cod,4.3,
code,3.9,
coin,6.5,5.86
coke,6.8,6.17
cold,4.2,5.42
colt,6.1,
comb,6.4,
come,2.2,3.3
con,2.3,
cone,5.8,
conk,2.6,
cook,5.4,4.98
cool,3.3,4
coon,5.1,
coop,3.6,
coot,1.9,
cop,6.4,
cope,2.5,3.38
cord,5.9,5.14
core,4.3,
cork,6.2,6.25
corn,6.8,5.84
corps,3.9,4.02
corpse,6.4,
cost,3.8,4.09
cot,5.4,
couch,6.7,5.3
cough,5.6,
could,1.7,
count,4.4,4.53
coup,2.7,
course,3.1,3.85
court,6.3,5.46
cove,4.5,
cow,6.8,6.26
coy,2.2,
crab,6.4,
crack,4.9,
craft,4.5,
cram,3.7,
cramp,4.5,
crane,5.9,
crank,4.1,5.18
craps,4,
crash,4.6,
crate,6.1,
crave,3.5,
crawl,4.4,4.82
craze,2.7,
creak,4.2,
cream,5.7,5.51
crease,4.1,
creed,3.8,
creek,5.9,
creep,4,
crepe,3.1,
crept,4,
crest,5.4,
crew,5.2,
crib,6.1,
crick,3,
crime,4,4.93
cringe,3.7,
crisp,4,
croak,3.5,4.39
crock,3.3,
crook,5,
croon,2.4,
crop,5.6,
cross,6.3,5
crotch,5.3,
crouch,4.4,
crow,6.3,5.67
crowd,5.3,5.42
crown,6.2,5.96
crude,2.5,
cruise,5.6,
crumb,6.2,4.91
crunch,4.1,
crush,4.7,
crust,5.8,
crutch,5.8,
cry,5.3,4.53
crypt,5,
cub,5.8,
cube,6.1,5.69
cud,2.8,
cue,3.3,
cuff,5.4,
cult,4.8,
cup,6.7,5.52
curb,5.8,5.5
curd,3.3,
cure,3.2,3.86
curl,5.1,
curse,3.4,4.14
curt,2.4,
curve,4.4,4.55
cusp,1.8,
cut,5.1,4.54
cute,4.4,
cyst,3,
czar,3.2,
dab,3.1,
dad,6.7,
daft,1.8,
dale,3.2,
dam,5.3,
dame,3.5,5.24
damn,3.2,
damp,4.2,
dance,5.6,5.04
dank,2.2,
dare,2.5,4.25
dark,4.6,6.19
darn,2,
dart,6.1,
dash,3.8,
date,4.8,5.29
daunt,2.3,
dawn,5.3,5.29
day,4.8,
days,4,
daze,3.1,
dead,5.3,4.98
deaf,3.3,
deal,3,4.27
dealt,2.8,
dean,4.6,
dear,3.6,3.68
dearth,1.4,
death,4.7,4.93
debt,4,3.78
deck,6.4,5.05
deed,3.4,
deem,1.8,
deep,4.3,5.17
deer,6.7,6.4
dell,3.5,
den,5.4,
dense,3,4.55
dent,5.3,
depth,3.5,
desk,6.4,5.68
deuce,3.2,
dew,5.7,
dice,6.4,
did,1.9,3.23
die,4.4,4.93
dig,5.4,
dike,4,
dill,4.3,
dim,3.8,4.44
dime,6.8,5.84
din,2.7,
dine,3.5,
dip,4.3,
dire,1.9,
dirge,1.7,
dirt,6.2,5.05
dish,6.2,
ditch,5.9,5.41
dive,4.6,
do,1.7,2.7
dock,6.1,
dodge,4.9,
doe,5.8,5.26
does,1.6,
dog,6.9,6.15
dole,2.6,
doll,6.4,5.27
dolt,1.8,
dome,4.8,5.51
don,2.4,
done,2.3,3.4
doom,3.4,
dope,4.9,
dorm,6,5.73
dose,3.3,
dot,6.3,
dote,2,
doubt,2.5,
douche,3,
dough,5.9,5.35
dour,1.5,
douse,2.6,
dove,6.5,
down,4,4.53
dowse,2.6,
doze,4.1,
drab,2.7,3.34
draft,4,
drag,4.5,
drain,5.5,
drake,3.7,
drank,4.6,
drape,4.7,
draught,2.4,
draw,5,4.29
drawer,6,
drawl,2.8,
dread,2.7,
dream,4.9,4.98
dreamt,3.2,
dredge,2.6,
drench,4.2,
dress,6,5.61
drew,3.9,
drift,3.5,
drill,6,5.65
drink,5.7,5.49
drip,4.9,
drive,5.3,
droll,2.2,
drone,3.1,
drool,5,
droop,3.6,
drop,4.3,4.11
drought,3.8,
drove,4.4,
drown,4.7,
drowse,2.8,
drug,5.6,
drum,6.4,5.93
drunk,5,
dry,3.8,
dub,2,
duck,6.5,6.35
duct,3.5,
dud,3,
dude,5.2,
due,2.1,
dug,4.7,
duke,4.6,4.74
dull,3,
dumb,3.5,3.93
dump,4.7,5.18
dunce,3.3,
dune,4.5,
dung,3.7,
dunk,4.9,
dupe,1.9,
dusk,5.2,5.68
dust,5.2,5.14
dwarf,6.4,
dwell,3.1,
dye,5.2,
each,2.3,3.14
