word,inWordform,inLemma,inMonomorph,freqCelex,freqWFG,orthographicLength,phonologicalLength,AoA,neighborhoodSize,relativeIconicity
ace,1,1,1,67,3,3,2,8.83,12,-8.03E-05
ache,1,1,1,86,49,4,2,5.79,3,-4.44E-05
act,1,1,1,3354,1538,3,3,6.42,6,-9.82E-05
add,1,1,1,1508,832,3,2,5.1,8,-1.57E-05
aft,1,1,1,19,15,3,3,13.88,6,5.81E-05
age,1,1,1,4437,2272,3,2,4.38,10,6.82E-05
aid,1,1,1,1019,504,3,2,7.33,13,0.000145216
aide,1,1,1,100,18,4,2,7.83,8,8.29E-05
ail,1,1,1,136,NA,3,2,9.71,7,9.54E-05
aim,1,1,1,735,142,3,2,6.72,10,2.23E-05
air,1,1,1,4496,6988,3,2,3.94,5,5.71E-06
aisle,1,1,1,129,66,5,2,5.95,1,1.20E-05
ale,1,1,1,56,11,3,2,10.16,12,-4.26E-05
alp,1,1,1,4,NA,3,3,11.77,5,-0.00015756
amp,1,1,1,7,NA,3,3,12.11,4,-1.21E-05
angst,1,1,1,9,NA,5,4,13.12,0,-0.000299759
ant,1,1,1,69,193,3,3,4.32,7,5.22E-05
ape,1,1,1,90,63,3,2,5.89,10,2.85E-05
apse,1,1,1,30,NA,4,3,12.74,1,-6.67E-05
apt,1,1,1,365,80,3,3,12.5,6,1.84E-05
arc,1,1,1,132,51,3,2,9.42,7,-5.80E-05
arch,1,1,1,242,84,4,2,8.26,1,-6.44E-05
ark,1,1,1,51,18,3,2,7.17,7,4.52E-05
arm,1,1,1,1896,1492,3,2,3.26,5,1.39E-05
arse,1,1,1,48,NA,4,2,.,2,-0.000169449
art,1,1,1,2972,617,3,2,6.21,8,0.000191404
ash,1,1,1,650,141,3,2,6.63,3,-9.24E-07
ask,1,1,1,4052,2582,3,3,2.89,5,-6.94E-07
asp,1,1,1,0,NA,3,3,10.69,7,-0.000324652
ass,1,1,1,172,10,3,2,7.84,6,-5.14E-05
aunt,1,1,1,541,1018,4,3,3.8,4,4.16E-05
awe,1,1,1,148,51,3,1,9.06,12,5.38E-06
awl,1,1,1,3,NA,3,2,10.75,4,0.000126412
axe,1,1,1,127,31,3,3,6.11,9,0.000153096
aye,1,1,1,230,44,3,1,9.69,14,3.13E-05
babe,1,1,1,35,54,4,3,6.61,9,-2.98E-05
back,1,1,1,22071,15873,4,3,5.31,16,-0.000185603
bad,1,1,1,3755,2393,3,3,2.79,21,-7.25E-05
badge,1,1,1,117,20,5,3,6.11,4,-6.47E-05
bag,1,1,1,1122,1025,3,3,4.28,22,-0.000212759
bail,1,1,1,187,9,4,3,10.16,15,4.26E-05
bait,1,1,1,579,80,4,3,7.11,5,-0.000252383
baize,1,1,1,29,NA,5,3,.,1,0.000219796
bake,1,1,1,100,112,4,3,5.5,17,-9.31E-05
bald,1,1,1,149,89,4,4,7.26,8,5.08E-06
bale,1,1,1,26,5,4,3,8.2,23,8.82E-06
balk,1,1,1,8,NA,4,3,12.93,13,0.000277493
ball,1,1,1,1664,2433,4,3,2.9,18,-0.000152901
balm,1,1,1,24,NA,4,3,10.28,7,3.29E-05
ban,1,1,1,235,13,3,3,10.11,19,6.92E-05
band,1,1,1,588,663,4,4,6.16,15,7.85E-05
bane,1,1,1,17,NA,4,3,9.6,22,0.000198184
bang,1,1,1,241,156,4,3,5.74,14,-9.96E-05
